X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-2.45015811899998,50.6072425840001,101,Weymouth,ALB/ILB,Dorset,South West,Channel,GBR,South West,18,50.60724258,-2.45015812,https://rnli.org/find-my-nearest/lifeboat-stations/weymouth-lifeboat-station
-3.57801188399998,50.3547305390001,102,Dart,ILB,Devon,South West,Channel,GBR,South West,19,50.35474396,-3.57801604,https://rnli.org/find-my-nearest/lifeboat-stations/dart-lifeboat-station
-4.15039999999993,50.3631,103,Plymouth,ALB/ILB,Devon,South West,South West,GBR,South West,19,50.36304092,-4.15038204,https://rnli.org/find-my-nearest/lifeboat-stations/plymouth-lifeboat-station
-3.76671208199997,50.2386043770001,104,Salcombe,ALB/ILB,Devon,South West,South West,GBR,South West,19,50.23866272,-3.76665807,https://rnli.org/find-my-nearest/lifeboat-stations/salcombe-lifeboat-station
-5.05919999999998,50.1514000000001,105,Falmouth,ALB/ILB,Cornwall,South West,South West,GBR,South West,20,50.15130615,-5.05911398,https://rnli.org/find-my-nearest/lifeboat-stations/falmouth-lifeboat-station
-4.63232942299993,50.3387217220001,106,Fowey,ALB/ILB,Cornwall,South West,South West,GBR,South West,20,50.33872604,-4.63234282,https://rnli.org/find-my-nearest/lifeboat-stations/fowey-lifeboat-station
-4.45324102299998,50.3520193100001,107,Looe,ILB,Cornwall,South West,South West,GBR,South West,20,50.35197067,-4.4531498,https://rnli.org/find-my-nearest/lifeboat-stations/looe-lifeboat-station
-5.18704501399998,49.9695118290001,108,The Lizard,ALB,Cornwall,South West,South West,GBR,South West,20,49.96951183,-5.18704501,https://rnli.org/find-my-nearest/lifeboat-stations/the-lizard-lifeboat-station
-5.54872322099993,50.1039314270001,109,Penlee,ALB/ILB,Cornwall,South West,South West,GBR,South West,21,50.10393143,-5.54872322,https://rnli.org/find-my-nearest/lifeboat-stations/penlee-lifeboat-station
-5.70365589699998,50.0778640080001,110,Sennen Cove,ALB/ILB,Cornwall,South West,South West,GBR,South West,21,50.07793045,-5.70370102,https://rnli.org/find-my-nearest/lifeboat-stations/sennen-cove-lifeboat-station
-5.47959999999995,50.2128000000001,111,St Ives,ALB/ILB,Cornwall,South West,South West,GBR,South West,21,50.21273804,-5.47952795,https://rnli.org/find-my-nearest/lifeboat-stations/st-ives-lifeboat-station
-5.08712455599994,50.416410726,112,Newquay (Cornwall),ILB,Cornwall,South West,South West,GBR,South West,22,50.4164772,-5.08729219,https://rnli.org/find-my-nearest/lifeboat-stations/newquay-lifeboat-station
-5.20169999999996,50.3195000000001,113,St Agnes,ILB,Cornwall,South West,South West,GBR,South West,22,50.31923676,-5.20183277,https://rnli.org/find-my-nearest/lifeboat-stations/st-agnes-lifeboat-station
-6.31171337099994,49.9168634430001,114,St Mary's,ALB,Isles Of Scilly,South West,South West,GBR,South West,22,49.91685867,-6.31166696,https://rnli.org/find-my-nearest/lifeboat-stations/st-marys-lifeboat-station
-4.55000787599994,50.8308948260001,115,Bude,ILB,Cornwall,South West,South West,GBR,South West,23,50.83073425,-4.55008316,https://rnli.org/find-my-nearest/lifeboat-stations/bude-lifeboat-station
-5.02172011299996,50.5490344470001,116,Padstow,ALB,Cornwall,South West,South West,GBR,South West,23,50.5490303,-5.0217309,https://rnli.org/find-my-nearest/lifeboat-stations/padstow-lifeboat-station
-4.83199247699997,50.5920122530001,117,Port Isaac,ILB,Cornwall,South West,South West,GBR,South West,23,50.59200668,-4.8319931,https://rnli.org/find-my-nearest/lifeboat-stations/port-isaac-lifeboat-station
-4.92447892199993,50.5446427790001,118,Rock,ILB,Cornwall,South West,South West,GBR,South West,23,50.5446167,-4.92449284,https://rnli.org/find-my-nearest/lifeboat-stations/rock-lifeboat-station
